start,end,count,reverse
Spear at Folsom,Davis at Jackson,82,114
Davis at Jackson,Washington at Kearney,20,24
St James Park,Santa Clara at Almaden,5,5
Post at Kearney,Steuart at Market,79,50
Market at 4th,Clay at Battery,92,115
SJ Diridon Caltrain,Santa Clara at Almaden,403,497
Spear at Folsom,2nd at Townsend,307,201
3rd at Howard,Market at 4th,22,31
MLK Library,SJSU 4th at San Carlos,27,30
Davis at Jackson,Market at Sansome,120,253
2nd at Folsom,"SF Caltrain, Townsend at 4th ",430,310
Commercial at Montgomery,Embarcadero at Bryant,163,113
Howard at 2nd,Market at Sansome,143,51
SF Caltrain at 330 Townsend,Beale at Market,97,136
Spear at Folsom,Market at Battery,116,92
Market at 10th,Post at Kearney,101,99
South Van Ness at Market,Embarcadero at Sansome,93,94
Embarcadero at Folsom,Golden Gate at Polk,8,13
San Antonio Caltrain Station,Park at Olive,10,19
Park at Olive,Mountain View Caltrain,3,4
2nd at Folsom,Grant at Columbus,90,118
3rd at Howard,South Van Ness at Market,61,49
Powell Street BART,2nd at Townsend,34,41
St James Park,San Salvador at 1st,15,7
Commercial at Montgomery,Market at 10th,28,45
Howard at Beale,Grant at Columbus,82,121
San Antonio Shopping Center,Mountain View Caltrain,23,23
Post at Kearney,Broadway St at Battery St,3,1
Beale at Market,South Van Ness at Market,36,45
Steuart at Market,Grant at Columbus,120,186
2nd at Townsend,Powell Street BART,41,34
Santa Clara at Almaden,SJ Diridon Caltrain,497,403
2nd at Folsom,2nd at Folsom,74,74
Market at 4th,San Francisco City Hall,53,119
Market at 10th,5th at Howard,89,127
San Salvador at 1st,San Pedro Square,35,26
2nd at Townsend,Golden Gate at Polk,11,22
Embarcadero at Folsom,Steuart at Market,97,94
Commercial at Montgomery,"SF Caltrain, Townsend at 4th ",176,157
Market at 4th,Broadway St at Battery St,2,9
Market at 4th,Commercial at Montgomery,88,171
Davis at Jackson,Broadway St at Battery St,3,1
Market at Sansome,Howard at Beale,131,143
2nd at South Park,Commercial at Montgomery,32,52
Powell Street BART,Powell at Post (Union Square),36,57
Clay at Battery,Grant at Columbus,81,128
Grant at Columbus,Golden Gate at Polk,21,16
Santa Clara at Almaden,SJSU 4th at San Carlos,77,59
San Francisco City Hall,Howard at Beale,4,7
Powell at Post (Union Square),Broadway St at Battery St,12,7
SF Ferry Building,Grant at Columbus,153,148
Embarcadero at Folsom,Market at Sansome,50,70
Arena Green / SAP Center,San Jose Civic Center,7,15
Steuart at Market,2nd at Folsom,40,102
Embarcadero at Folsom,South Van Ness at Market,23,43
7th at Market,Embarcadero at Vallejo,53,50
Beale at Market,2nd at South Park,108,69
Broadway at Main,San Mateo County Center,13,17
Embarcadero at Bryant,Embarcadero at Vallejo,232,184
Mountain View Caltrain,St James Park,1,0
Powell Street BART,Davis at Jackson,32,77
Mountain View City Hall,Park at Olive,6,6
Spear at Folsom,South Van Ness at Market,34,62
California Ave Caltrain Station,California Ave Caltrain Station,72,72
"SF Caltrain, Townsend at 4th ",SF Caltrain at 330 Townsend,26,37
San Jose Civic Center,San Salvador at 1st,18,21
San Jose Civic Center,San Jose Civic Center,82,82
Davis at Jackson,Market at Battery,72,110
Clay at Battery,Washington at Kearney,25,17
2nd at Townsend,2nd at South Park,75,77
Embarcadero at Vallejo,Howard at Beale,94,169
2nd at Townsend,Howard at Beale,317,487
Market at Sansome,Washington at Kearney,51,67
"SF Caltrain, Townsend at 4th ",Steuart at Market,609,538
Howard at 2nd,Powell Street BART,101,52
2nd at South Park,SF Ferry Building,274,167
Spear at Folsom,Beale at Market,83,155
Market at Battery,2nd at Folsom,19,38
Steuart at Market,3rd at Howard,98,89
